Frequency,R_Quad1,R_Quad2,R_Quad3,R_Quad4,X_Quad1,X_Quad2,X_Quad3,X_Quad4
42175.000,55.011,62.569,65.292,56.967,-137.389,-141.202,-138.524,-139.828
42230.000,53.154,60.483,62.995,54.992,-136.187,-140.107,-137.709,-138.696
42285.000,51.174,58.070,60.468,52.835,-134.868,-138.749,-136.585,-137.397
42340.000,49.470,56.082,58.658,51.112,-133.611,-137.544,-135.488,-136.201
42395.000,47.677,53.844,56.392,49.197,-132.277,-136.291,-134.357,-134.875
42450.000,46.179,52.091,54.495,47.581,-131.143,-135.132,-133.489,-133.701
42505.000,44.364,50.002,52.543,45.819,-129.760,-133.741,-132.115,-132.373
42560.000,43.090,48.400,50.851,44.369,-128.668,-132.646,-131.043,-131.205
42615.000,41.451,46.522,48.804,42.739,-127.310,-131.237,-129.891,-129.844
42670.000,40.194,44.989,47.491,41.429,-126.212,-130.116,-128.839,-128.756
42725.000,38.840,43.288,45.593,39.956,-124.918,-128.744,-127.716,-127.379
42780.000,37.701,41.950,44.365,38.721,-123.789,-127.578,-126.625,-126.337
42835.000,36.330,40.417,42.740,37.353,-122.489,-126.257,-125.508,-124.983
42890.000,35.264,39.189,41.384,36.220,-121.440,-125.133,-124.528,-123.922
42945.000,34.081,37.778,39.907,34.926,-120.153,-123.785,-123.307,-122.573
43000.000,33.140,36.667,38.778,33.906,-119.162,-122.647,-122.141,-121.504
