Transect,Waypoint,Latitude,Longitude,Type,Region,Depth
91,091.2C,40.689527,-125.098077,Compulsory,Central CA,-2658.3193359375
92,092.1C,40.856799,-124.176317,Compulsory,Central CA,-6.839199542999268
92,092.2C,40.854959,-125.019729,Compulsory,Central CA,-2966.612548828125
93,093.1C,41.022336,-124.133456,Compulsory,Central CA,-2.609511137008667
93,093.2C,41.020348,-124.982146,Compulsory,Central CA,-2978.669921875
94,094.1C,41.187813,-124.131132,Compulsory,Central CA,-6.294524669647217
94,094.2C,41.185683,-124.982336,Compulsory,Central CA,-1896.7398681640625
95,095.1C,41.353422,-124.091083,Compulsory,Central CA,-14.63015365600586
95,095.2C,41.350977,-125.009527,Compulsory,Central CA,-1893.9449462890625
96,096.1C,41.518959,-124.092404,Compulsory,Central CA,-14.134297370910645
96,096.2C,41.516265,-125.046451,Compulsory,Central CA,-1624.6107177734375
97,097.1C,41.684355,-124.151921,Compulsory,Central CA,91.56632232666016
97,097.2C,41.681555,-125.090343,Compulsory,Central CA,-1501.5494384765625
98,098.1C,41.849689,-124.236124,Compulsory,Central CA,-3.5324604511260986
98,098.2C,41.846894,-125.125278,Compulsory,Central CA,-1549.4224853515625
99,099.1C,42.01527,-124.248872,Compulsory,WA/OR,14.045299530029297
99,099.2C,42.012289,-125.151118,Compulsory,WA/OR,-1631.9989013671875
100,100.1C,42.180493,-124.374911,Compulsory,WA/OR,-18.732160568237305
100,100.2C,42.177651,-125.195185,Compulsory,WA/OR,-2275.221923828125
101,101.1C,42.345932,-124.441245,Compulsory,WA/OR,-15.74442195892334
101,101.2C,42.342975,-125.257057,Compulsory,WA/OR,-3095.377197265625
102,102.1C,42.511652,-124.439811,Compulsory,WA/OR,-10.631189346313477
102,102.2C,42.508388,-125.301271,Compulsory,WA/OR,-3079.307861328125
103,103.1C,42.677324,-124.45985,Compulsory,WA/OR,-21.525501251220703
103,103.2C,42.673903,-125.327013,Compulsory,WA/OR,-3082.138916015625
104,104.1C,42.842644,-124.580084,Compulsory,WA/OR,-12.910774230957031
104,104.2C,42.839525,-125.335763,Compulsory,WA/OR,-3072.763427734375
105,105.1C,43.008942,-124.46542,Compulsory,WA/OR,0.10216797143220901
105,105.2C,43.005394,-125.297109,Compulsory,WA/OR,-3065.394287109375
106,106.1C,43.175042,-124.41842,Compulsory,WA/OR,0.8699514865875244
106,106.2C,43.171336,-125.255953,Compulsory,WA/OR,-2081.103759765625
107,107.1C,43.341151,-124.385152,Compulsory,WA/OR,-3.2400617599487305
107,107.2C,43.337128,-125.26136,Compulsory,WA/OR,-2087.436279296875
108,108.1C,43.507691,-124.273181,Compulsory,WA/OR,-25.389070510864258
108,108.2C,43.502934,-125.274644,Compulsory,WA/OR,-1746.9947509765625
109,109.1C,43.673994,-124.228113,Compulsory,WA/OR,-15.400890350341797
109,109.2C,43.668769,-125.29246,Compulsory,WA/OR,-1930.0238037109375
110,110.1C,43.840406,-124.174987,Compulsory,WA/OR,-10.701422691345215
110,110.2C,43.834678,-125.305612,Compulsory,WA/OR,-1998.7147216796875
111,111.1C,44.006755,-124.148921,Compulsory,WA/OR,-1.4858742952346802
111,111.2C,44.00086,-125.276733,Compulsory,WA/OR,-2598.179931640625
112,112.1C,44.173151,-124.127129,Compulsory,WA/OR,-6.179266929626465
112,112.2C,44.167101,-125.250188,Compulsory,WA/OR,-2130.0556640625
113,113.1C,44.33958,-124.111661,Compulsory,WA/OR,-7.476415157318115
113,113.2C,44.333207,-125.260552,Compulsory,WA/OR,-2247.607421875
114,114.1C,44.506045,-124.099235,Compulsory,WA/OR,-7.695700168609619
114,114.2C,44.499461,-125.255715,Compulsory,WA/OR,-1784.24609375
115,115.1C,44.672619,-124.085813,Compulsory,WA/OR,4.797342300415039
115,115.2C,44.6657,-125.264969,Compulsory,WA/OR,-2267.68017578125
116,116.1C,44.839308,-124.062639,Compulsory,WA/OR,-2.2154130935668945
116,116.2C,44.831774,-125.3125,Compulsory,WA/OR,-1563.3419189453125
117,117.1C,45.0062,-124.019216,Compulsory,WA/OR,19.10679817199707
117,117.2C,44.998183,-125.314772,Compulsory,WA/OR,-1965.631591796875
118,118.1C,45.173172,-123.976904,Compulsory,WA/OR,-4.017077445983887
118,118.2C,45.164812,-125.293747,Compulsory,WA/OR,-1728.683837890625
119,119.1C,45.339657,-124.020829,Compulsory,WA/OR,-38.635860443115234
119,119.2C,45.331269,-125.311582,Compulsory,WA/OR,-1634.5484619140625
120,120.1C,45.506874,-123.968456,Compulsory,WA/OR,95.7601089477539
120,120.2C,45.497846,-125.322053,Compulsory,WA/OR,-1864.1534423828125
121,121.1C,45.673899,-123.95439,Compulsory,WA/OR,-0.003333435161039233
121,121.2C,45.665029,-125.254885,Compulsory,WA/OR,-1561.092529296875
122,122.1C,45.840803,-123.973413,Compulsory,WA/OR,-9.796589851379395
122,122.2C,45.831615,-125.287861,Compulsory,WA/OR,-1611.9466552734375
123,123.1C,46.008123,-123.943222,Compulsory,WA/OR,-6.187168598175049
123,123.2C,45.997546,-125.422524,Compulsory,WA/OR,-1289.165283203125
124,124.1C,46.174928,-123.996489,Compulsory,WA/OR,-12.670851707458496
124,124.2C,46.164472,-125.42683,Compulsory,WA/OR,-2089.337158203125
125,125.1C,46.341599,-124.077265,Compulsory,WA/OR,-6.686218738555908
125,125.2C,46.332875,-125.245042,Compulsory,WA/OR,-1829.4991455078125
126,126.1C,46.508991,-124.071912,Compulsory,WA/OR,1.264206051826477
126,126.2C,46.500431,-125.193608,Compulsory,WA/OR,-1937.3687744140625
127,127.1C,46.676202,-124.101785,Compulsory,WA/OR,-5.373185634613037
127,127.2C,46.666788,-125.310074,Compulsory,WA/OR,-1881.5185546875
128,128.1C,46.843541,-124.126212,Compulsory,WA/OR,-9.114270210266113
128,128.2C,46.834044,-125.320626,Compulsory,WA/OR,-1333.921142578125
129,129.1C,47.010676,-124.186834,Compulsory,WA/OR,1.5883811712265015
129,129.2C,46.999424,-125.57402,Compulsory,WA/OR,-1628.0712890625
130,130.1C,47.178143,-124.217,Compulsory,WA/OR,-4.638179302215576
130,130.2C,47.163748,-125.957227,Compulsory,WA/OR,-2038.8140869140625
131,131.1C,47.345021,-124.327926,Compulsory,WA/OR,-15.485576629638672
131,131.2C,47.330291,-126.074786,Compulsory,WA/OR,-1972.9639892578125
132,132.1C,47.512604,-124.364814,Compulsory,WA/OR,-5.468955039978027
132,132.2C,47.497075,-126.172091,Compulsory,WA/OR,-1889.3531494140625
133,133.1C,47.68007,-124.425804,Compulsory,WA/OR,-9.973079681396484
133,133.2C,47.664183,-126.240938,Compulsory,WA/OR,-1973.3043212890625
134,134.1C,47.846819000000004,-124.593036,Compulsory,WA/OR,-27.69325828552246
